construct,standard,host,kind,iso_clause,std_ref,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
C_ATOL,atol,c,identifier,,ISO/IEC 9899:2011,,,,,,,,म_से_द,,,,,,,,,,,,,,,,,,,
C_AUTO,auto,c,identifier,6.4.1,ISO/IEC 9899:2011,,,,,,,,स्वतः,,,,,,,,,,,,,,,,,,,خودکار
C_BREAK,break,c,identifier,6.8.6.3,ISO/IEC 9899:2011,اكسر,שבור,বিৰতি,বিরতি,اكسر,તોડો,שבור,विराम,ನಿಲ್ಲಿಸು,اكسر,നിർത്തുക,थांबा,रोक,ଭାଙ୍ଗ,भञ्ज,اكسر,بشکن,שבור,भंग,ਰੋਕੋ,भङ्ग,اكسر,اكسر,שבור,நிறுத்து,ఆపు,توڑو
C_BSEARCH,bsearch,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द्वा_खोज,,,,,,,,,,,,,,,,,,,
C_CALLOC,calloc,c,identifier,,ISO/IEC 9899:2011,,,,,,,,सुस्मृति,,,,,,,,,,,,,,,,,,,
C_CASE,case,c,identifier,6.8.4.2,ISO/IEC 9899:2011,عندما,כאשר,যেতিয়া,যখন,عندما,જ્યારે,כאשר,जब,ಯಾವಾಗ,عندما,എപ്പോൾ,जेव्हा,जब,ଯେତେବେଳେ,यदा,عندما,هنگامیکه,כאשר,जदा,ਜਦੋਂ,यदा,عندما,عندما,כאשר,போது,ఎప్పుడు,جب
C_CEIL,ceil,c,identifier,,ISO/IEC 9899:2011,,,,,,,,उच्चमान,,,,,,,,,,,,,,,,,,,
C_CHAR,char,c,identifier,6.7.2,ISO/IEC 9899:2011,حرف,תו,আখৰ,অক্ষর,حرف,અક્ષર,תו,अक्षर,ಅಕ್ಷರ,حرف,അക്ഷരം,अक्षर,अक्षर,ଅକ୍ଷର,वण्ण,حرف,نویسه,תו,अक्खर,ਅੱਖਰ,वर्ण,حرف,حرف,תו,எழுத்து,అక్షరం,حرف
C_CHDIR,chdir,c,identifier,,ISO/IEC 9899:2011,,,,,,,,स_बदलो,,,,,,,,,,,,,,,,,,,
C_CLEARERR,clearerr,c,identifier,,ISO/IEC 9899:2011,,,,,,,,साफ_त्रुटि,,,,,,,,,,,,,,,,,,,
C_CLOCK,clock,c,identifier,,ISO/IEC 9899:2011,,,,,,,,घड़ी,,,,,,,,,,,,,,,,,,,
C_CLOCK_T,clock_t,c,identifier,,ISO/IEC 9899:2011,,,,,,,,घड़ी_प्रकार,,,,,,,,,,,,,,,,,,,
C_CLOSE,close,c,identifier,,ISO/IEC 9899:2011,,,,,,,,बंद,,,,,,,,,,,,,,,,,,,
C_CLOSEDIR,closedir,c,identifier,,ISO/IEC 9899:2011,,,,,,,,बंद_सूची,,,,,,,,,,,,,,,,,,,
C_CONST,const,c,identifier,6.7.3,ISO/IEC 9899:2011,ثابت,קבוע,ধ্ৰুৱক,ধ্রুবক,ثابت,અચલ,קבוע,अचर,ಸ್ಥಿರಾಂಕ,ثابت,സ്ഥിരം,स्थिरांक,अचर,ଅଚଳ,ध्रुव,ثابت,ثابت,קבוע,धुव,ਅਚਲ,ध्रुव,ثابت,ثابت,קבוע,மாறிலி,స్థిరరాశి,ثابت
C_CONTINUE,continue,c,identifier,6.8.6.2,ISO/IEC 9899:2011,استمر,המשך,অব্যাহত,চালু,استمر,ચાલુ,המשך,जारी,ಮುಂದುವರಿ,استمر,തുടരുക,सुरूठेवा,जारी,ଜାରି,अनुवत्त,استمر,ادامه,המשך,चालु,ਜਾਰੀ,अनुवर्त,استمر,استمر,המשך,தொடர்,కొనసాగు,جاری
C_CTIME,ctime,c,identifier,,ISO/IEC 9899:2011,,,,,,,,स_समय,,,,,,,,,,,,,,,,,,,
C_DEFAULT,default,c,identifier,6.8.4.2,ISO/IEC 9899:2011,افتراضي,ברירתמחדל,মূল,পূর্বনির্ধারিত,افتراضي,મૂળભૂત,ברירתמחדל,मूल,ಪೂರ್ವನಿಯೋಜಿತ,افتراضي,സ്ഥിരസ്ഥിതി,पूर्वनिर्धारित,मूल,ପୂର୍ବନିର୍ଦ୍ଧାରିତ,सभाव,افتراضي,پیشفرض,ברירתמחדל,मूल,ਮੂਲ,स्वभाव,افتراضي,افتراضي,ברירתמחדל,இயல்பு,అప్రమేయ,طےشدہ
C_DIFFTIME,difftime,c,identifier,,ISO/IEC 9899:2011,,,,,,,,स_अंतर,,,,,,,,,,,,,,,,,,,
C_DIRNAME,dirname,c,identifier,,ISO/IEC 9899:2011,,,,,,,,स_नाम,,,,,,,,,,,,,,,,,,,
C_DIV,div,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भाग,,,,,,,,,,,,,,,,,,,تقسیم
C_DIV_T,div_t,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भाग_प्रकार,,,,,,,,,,,,,,,,,,,
C_DO,do,c,identifier,6.8.5.2,ISO/IEC 9899:2011,افعل,𐡏𐡁𐡃,কৰা,করো,افعل,કરો,עשה,करो,ಮಾಡು,افعل,ചെയ്യുക,करा,गर,କର,करोहि,افعل,انجامبده,𐤐𐤏𐤋,करेहि,ਕਰੋ,कुरु,افعل,افعل,ܥܒܕ,செய்,చేయి,کرو
C_DOUBLE,double,c,identifier,6.7.2,ISO/IEC 9899:2011,مزدوج,כפול,দ্বিগুণ,দ্বিগুণ,مزدوج,દ્વિગુણ,כפול,द्विगुण,ದ್ವಿಗುಣ,مزدوج,ഇരട്ട,द्विगुण,द्विगुण,ଦ୍ୱିଗୁଣ,द्विगुण,مزدوج,دوگانه,כפול,दुगुण,ਦੁੱਗਣਾ,द्विगुण,مزدوج,مزدوج,כפול,இரட்டை,ద్విగుణ,دوہرا
C_ELSE,else,c,identifier,6.8.4.1,ISO/IEC 9899:2011,وإلا,אחרת,অন্যথা,অন্যথা,وإلا,નહીંતર,אחרת,अन्यथा,ಇಲ್ಲದಿದ್ದರೆ,وإلا,അല്ലെങ്കിൽ,अन्यथा,अन्यथा,ଅନ୍ୟଥା,अञ्ञथा,وإلا,وگرنه,אחרת,अण्णहा,ਨਹੀਂਤਾਂ,अन्यथा,وإلا,وإلا,ܐܚܪܢܐ,இல்லையெனில்,లేకపోతే,ورنہ
C_ENUM,enum,c,identifier,6.7.2.2,ISO/IEC 9899:2011,,,,,,,,क्रमागत,,,,,,,,,,,,,,,,,,,شمار
C_ERRNO,errno,c,identifier,,ISO/IEC 9899:2011,,,,,,,,त्रुटि_सं,,,,,,,,,,,,,,,,,,,
C_EXIT,exit,c,identifier,,ISO/IEC 9899:2011,,,,,,,,निकास,,,,,,,,,,,,,,,,,,,
C_EXTERN,extern,c,identifier,6.7.1,ISO/IEC 9899:2011,,,,,,,,बाह्य,,,,,,,,,,,,,,,,,,,بیرونی
C_FABS,fabs,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भ_असल,,,,,,,,,,,,,,,,,,,
C_FCLOSE,fclose,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_बंद,,,,,,,,,,,,,,,,,,,
C_FEOF,feof,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_पूर्ण,,,,,,,,,,,,,,,,,,,
C_FERROR,ferror,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_त्रुटि,,,,,,,,,,,,,,,,,,,
C_FFLUSH,fflush,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_साफ,,,,,,,,,,,,,,,,,,,
C_FGETC,fgetc,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_अक्षर_लो,,,,,,,,,,,,,,,,,,,
C_FGETPOS,fgetpos,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_स्थान_लो,,,,,,,,,,,,,,,,,,,
C_FGETS,fgets,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_माला_लो,,,,,,,,,,,,,,,,,,,
C_FLOAT,float,c,identifier,6.7.2,ISO/IEC 9899:2011,عائم,צף,দশমিক,দশমিক,عائم,દશાંશ,צף,दशमलव,ದಶಮಾಂಶ,عائم,ദശാംശം,दशांश,दशमलव,ଦଶମିକ,भिन्न,عائم,اعشاری,צף,भिण्ण,ਦਸ਼ਮਲਵ,भिन्न,عائم,عائم,צף,தசம,దశాంశం,اعشاری
C_FLOOR,floor,c,identifier,,ISO/IEC 9899:2011,,,,,,,,न्यूनमान,,,,,,,,,,,,,,,,,,,
C_FMOD,fmod,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भ_शेष,,,,,,,,,,,,,,,,,,,
C_FOPEN,fopen,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_खोलो,,,,,,,,,,,,,,,,,,,
C_FOR,for,c,identifier,6.8.5.3,ISO/IEC 9899:2011,لكل,עבור,বাবে,জন্য,لكل,માટે,עבור,हेतु,ಗಾಗಿ,لكل,വേണ്ടി,साठी,लागि,ପାଇଁ,अत्थाय,لكل,برای,עבור,अत्थे,ਲਈ,प्रति,لكل,لكل,עבור,க்கு,కొరకు,برائے
C_FORK,fork,c,identifier,,ISO/IEC 9899:2011,,,,,,,,विभाजन,,,,,,,,,,,,,,,,,,,
C_FPOS_T,fpos_t,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_स्थान_प्रकार,,,,,,,,,,,,,,,,,,,
C_FPRINTF,fprintf,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_लिखो,,,,,,,,,,,,,,,,,,,
C_FPUTC,fputc,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_अक्षर_दो,,,,,,,,,,,,,,,,,,,
C_FPUTS,fputs,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_माला_दो,,,,,,,,,,,,,,,,,,,
